chrom	hg19_start	hg19_end	name	disease_trait	disease_class	internally_replicated	independently_replicated	In_DHS	fetal_origin	-LOG(P)	sample_size
chr14	27800176	27800177	rs2877832	Insulin_resistance	Serum_metabolites	N	N	N	NA	5.52288	1087
chr14	29116694	29116695	rs12587311	Serum_polyunsaturated_fatty_acids	Serum_metabolites	N	N	N	NA	6.30103	8866
chr14	29249348	29249349	rs2038256	Multiple_sclerosis-Brain_Glutamate_Concentrations	Autoimmune_disease	N	N	Y	Y	5.69897	372
chr14	30515111	30515112	rs11847697	BMI	Quantitative_traits	Y	N	N	NA	10.2218	123865
chr14	32093547	32093548	rs7142881	Response_to_iloperidone_treatment_QT_prolongation	Drug_metabolism	N	N	N	NA	5.69897	183
chr14	32353249	32353250	rs2039485	Brain_lesion_load	Neurological_behavioral	N	N	Y	N	5.22185	1674
chr14	32433857	32433858	rs915071	Biplolar_disorder_and_schizophrenia	Neurological_behavioral	N	N	N	NA	5.69897	4234
chr14	33282469	33282470	rs2383378	Anorexia_nervosa	Neurological_behavioral	N	N	Y	Y	5.22185	4806
chr14	33381097	33381098	rs12146962	Ankylosing_spondylitis	Autoimmune_disease	Y	N	Y	Y	5.04576	6068
chr14	33476265	33476266	rs4982029	Schizophrenia_bipolar_disorder_and_depression	Neurological_behavioral	N	N	N	NA	5.39794	4186
chr14	33480921	33480922	rs8015959	Bipolar_disorder	Neurological_behavioral	N	N	N	NA	5.30103	10596
chr14	35682171	35682172	rs12586317	Psoriasis	Autoimmune_disease	Y	N	N	NA	7.69897	4377
chr14	35832665	35832666	rs8016947	Psoriasis	Autoimmune_disease	Y	N	Y	Y	10.699	7353
chr14	36397679	36397680	rs1168987	Response_to_CLL_treatment	Drug_metabolism	Y	N	N	NA	5.30103	356
chr14	36649245	36649246	rs944289	Thyroid_cancer	Cancer	Y	N	N	NA	8.69897	37388
chr14	37000048	37000049	rs17104630	Height	Quantitative_traits	Y	N	N	NA	5.09691	15821
chr14	39020504	39020505	rs10498345	Coronary_spasm	Cardiovascular	Y	N	N	NA	6.04576	100
chr14	42655274	42655275	rs2154294	Alcohol_consumption	Neurological_behavioral	Y	N	N	NA	5.52288	8754
chr14	47403683	47403684	rs12883384	Neuroticism	Neurological_behavioral	Y	N	N	NA	6.1549	1227
chr14	47863834	47863835	rs7159841	Blood_viscosity	Serum_metabolites	N	N	N	NA	6.69897	1000
chr14	48564955	48564956	rs7151223	Digit_Span_Forward	Neurological_behavioral	N	N	N	NA	6	1086
chr14	48570465	48570466	rs1584157	Digital_Span_Forward	Neurological_behavioral	N	N	N	NA	5.69897	1086
chr14	49372800	49372801	rs2352904	Cognitive_performance-F2	Neurological_behavioral	N	N	N	NA	5.69897	705
chr14	50877982	50877983	rs1265879	Trails_A	Neurological_behavioral	N	N	Y	Y	5.39794	1086
chr14	51084234	51084235	rs17122693	Trails_A	Neurological_behavioral	N	N	N	NA	6.52288	1086
chr14	51170878	51170879	rs8020441	Trails_A	Neurological_behavioral	N	N	N	NA	6.30103	1086
chr14	51919821	51919822	rs7153703	Alzheimers_Total_ventricular_volume	Aging	N	N	N	NA	5.52288	954
chr14	52010798	52010799	rs7140150	Brain_structure	Quantitative_traits	N	N	N	NA	6.30103	740
chr14	52233275	52233276	rs11626056	Hippocampal_atrophy	Aging	N	N	N	NA	6	381
chr14	52518810	52518811	rs730532	FEF	Kidney_lung_liver	N	N	Y	Y	5.22185	1222
chr14	54072857	54072858	rs1380131	Alcohol_consumption	Neurological_behavioral	Y	N	N	NA	5.04576	8754
chr14	54290829	54290830	rs12431733	Parkinsons_disease	Aging	Y	N	N	NA	5.52288	5691
chr14	54410918	54410919	rs4444235	Colorectal_cancer	Cancer	Y	N	Y	Y	9.09691	3831
chr14	54857285	54857286	rs4293296	Working_memory	Neurological_behavioral	N	N	N	NA	5.52288	738
chr14	56525568	56525569	rs398652	Telomere_length	Miscellaneous	Y	N	N	NA	5.69897	459
chr14	58119195	58119196	rs10134944	Bipolar_disorder	Neurological_behavioral	N	N	Y	Y	5.1549	4806
chr14	58355047	58355048	rs8013190	HIV_progression	Viral_disease	N	N	N	NA	7.1549	2362
chr14	58385364	58385365	rs1335515	ADHD	Neurological_behavioral	N	N	Y	N	5.09691	2790
chr14	58397915	58397916	rs808225	FeFrat	Kidney_lung_liver	N	N	N	NA	5.1549	1222
chr14	59334127	59334128	rs4901869	Panic_disorder	Neurological_behavioral	N	N	N	NA	5.22185	400
chr14	60683429	60683430	rs216518	Allergic_rhinitis	Autoimmune_disease	N	N	N	NA	5.69897	12898
chr14	60957278	60957279	rs2093210	Height	Quantitative_traits	Y	N	N	NA	16.2218	133653
chr14	61072874	61072875	rs10483727	Optic_disc_size_rim	Quantitative_traits	N	N	N	NA	5.04576	2216
chr14	61072874	61072875	rs10483727	Optic_vertical_cup-disc_ratio	Quantitative_traits	Y	N	N	NA	11	7360
chr14	62185294	62185295	rs8005745	CD40_ligand	Serum_metabolites	N	N	Y	Y	5.39794	1012
chr14	62518347	62518348	rs6573416	Self-rated_health	Miscellaneous	N	N	N	NA	5.52288	9291
chr14	62654697	62654698	rs973968	Transferrin_saturation	Serum_metabolites	N	N	N	NA	5.52288	411
chr14	62678302	62678303	rs1514928	ADHD	Neurological_behavioral	N	N	N	NA	5.52288	2727
chr14	63953521	63953522	rs11158493	Response_to_CLL_treatment	Drug_metabolism	Y	N	Y	Y	6.04576	356
chr14	64235555	64235556	rs7157785	Sphingolipid_concentrations	Serum_metabolites	N	N	Y	Y	65.0458	4110
chr14	64899054	64899055	rs10498514	Cognitive_performance-SWM_Strategy	Neurological_behavioral	N	N	Y	N	6.09691	1295
chr14	64902115	64902116	rs2295639	Cognitive_performance-SWM_Strategy	Neurological_behavioral	N	N	Y	Y	5.30103	1295
chr14	65475539	65475540	rs4466998	Mean_corpuscular_volume	Hematological_parameters	Y	N	N	NA	7.30103	24167
chr14	65645249	65645250	rs7158173	Waist_circumference	Quantitative_traits	N	N	N	NA	5.39794	898
chr14	65747758	65747759	rs1256531	Conduct_disorder_symptom_count	Neurological_behavioral	N	N	Y	Y	5.39794	3963
chr14	65758641	65758642	rs7159888	DG1_glycan	Serum_metabolites	N	N	Y	Y	17.5229	2559
chr14	65914866	65914867	rs10483776	DG6_glycan	Serum_metabolites	N	N	Y	Y	8	2559
chr14	66262962	66262963	rs8007846	Multiple_sclerosis-Brain_Glutamate_Concentrations	Autoimmune_disease	N	N	N	NA	5.04576	372
chr14	68520905	68520906	rs8022206	Platelet_count	Hematological_parameters	N	N	Y	N	9.69897	48666
chr14	68753592	68753593	rs911263	Primary_biliary_cirrhosis	Autoimmune_disease	Y	N	Y	Y	10.699	7003
chr14	68788923	68788924	rs1956529	Primary_tooth_development_number_of_teeth	Quantitative_traits	N	N	N	NA	7.52288	5752
chr14	69034681	69034682	rs999737	Breast_cancer	Cancer	Y	N	N	NA	6.69897	2287
chr14	69210198	69210199	rs4902642	Crohns_disease	Autoimmune_disease	Y	N	Y	N	9.69897	21389
chr14	69254190	69254191	rs4902647	Multiple_sclerosis	Autoimmune_disease	Y	N	Y	Y	11.0458	26621
chr14	69263598	69263599	rs1465788	Type_1_diabetes	Diabetes	Y	N	Y	Y	11.699	16559
chr14	69278203	69278204	rs4899260	Celiac_disease	Autoimmune_disease	Y	N	Y	Y	6.39794	15283
chr14	69408696	69408697	rs2268983	Smoking_behavior	Neurological_behavioral	N	N	Y	Y	5.1549	4611
chr14	70517182	70517183	rs12883884	Cystic_fibrosis_severity	Miscellaneous	Y	N	Y	Y	5.09691	2494
chr14	71249801	71249802	rs17108533	Quetiapine_-Schizophrenia_neurocognition	Drug_metabolism	N	N	N	NA	6	738
chr14	71352647	71352648	rs36563	Alcohol_dependence	Neurological_behavioral	Y	N	Y	Y	5.30103	1834
chr14	71395603	71395604	rs2810114	Alcohol_dependence	Neurological_behavioral	N	N	N	NA	5.39794	3501
chr14	72057354	72057355	rs11848785	QRS_duration	Cardiovascular	Y	N	Y	Y	10	40407
chr14	72692492	72692493	rs699363	Obesity_extreme	Quantitative_traits	Y	N	N	NA	5.30103	5373
chr14	72883873	72883874	rs7159300	Smoking_cessation	Neurological_behavioral	N	N	Y	Y	15.3979	369
chr14	73019235	73019236	rs4903031	C-reactive_protein	Serum_metabolites	Y	N	Y	Y	5.30103	66185
chr14	73756298	73756299	rs10483853	Coronary_artery_calcification	Cardiovascular	N	N	Y	Y	5.22185	984
chr14	74551969	74551970	rs2239557	Morningness	Miscellaneous	N	N	Y	Y	6.52288	9126
chr14	74990745	74990746	rs862034	Height	Quantitative_traits	Y	N	N	NA	13.1549	133653
chr14	75322793	75322794	rs8014204	Caffeine_intake	Drug_metabolism	N	N	Y	Y	5.30103	47431
chr14	75626041	75626042	rs910316	Height	Quantitative_traits	Y	N	Y	Y	7	12611
chr14	75960535	75960536	rs7155603	Rheumatoid_arthritis	Autoimmune_disease	Y	N	Y	Y	7	25708
chr14	76005556	76005557	rs2300603	Multiple_sclerosis	Autoimmune_disease	Y	N	Y	Y	7.69897	26621
chr14	76129590	76129591	rs724743	Height	Quantitative_traits	Y	N	Y	Y	7	20427
chr14	76613677	76613678	rs935334	Diastolic_blood_pressure	Cardiovascular	N	N	N	NA	5.52288	1327
chr14	76650763	76650764	rs2121070	Diastolic_blood_pressure	Cardiovascular	N	N	Y	Y	5.30103	1327
chr14	76812490	76812491	rs2360997	ADHD	Neurological_behavioral	N	N	N	NA	5.09691	2727
chr14	78786076	78786077	rs11624704	Waist-hip_ratio	Quantitative_traits	Y	N	Y	Y	8.52288	1060
chr14	78786158	78786159	rs6574433	Animals	Neurological_behavioral	N	N	Y	Y	5.22185	1086
chr14	79936963	79936964	rs10150332	BMI	Quantitative_traits	Y	N	N	NA	10.5229	123865
chr14	79945161	79945162	rs10146997	Waist_circumference	Quantitative_traits	Y	N	N	NA	7.30103	31373
chr14	81451228	81451229	rs12101261	Graves_disease	Autoimmune_disease	Y	N	Y	N	23.1549	2958
chr14	81523127	81523128	rs17111394	Optic_disc_size_rim	Quantitative_traits	N	N	N	NA	5.39794	2216
chr14	81575453	81575454	rs8017455	Hair_morphology	Quantitative_traits	N	N	N	NA	5.22185	20985
chr14	84775208	84775209	rs11159647	Alzheimers_disease	Aging	Y	N	N	NA	5.69897	941
chr14	87506247	87506248	rs11624056	Sudden_cardiac_arrest	Cardiovascular	N	N	N	NA	7.52288	609
chr14	88472594	88472595	rs8005161	Crohns_disease	Autoimmune_disease	Y	N	Y	Y	17.3979	21389
chr14	88487688	88487689	rs2119704	Multiple_sclerosis	Autoimmune_disease	Y	N	N	NA	9.69897	26621
chr14	88826681	88826682	rs17124581	Information_processing_speed_2-choice_RT	Neurological_behavioral	N	N	N	NA	5.52288	4763
chr14	90301034	90301035	rs12100561	Liver_cancer	Cancer	Y	N	Y	Y	5.39794	451
chr14	90679909	90679910	rs8017423	Heart_failure_motality-AA	Cardiovascular	N	N	Y	Y	5.1549	2992
chr14	91022184	91022185	rs17793829	Cytomegalovirus_antibody_response	Viral_disease	N	N	Y	Y	5.04576	2133
chr14	92427221	92427222	rs7153027	Height	Quantitative_traits	Y	N	N	NA	10	30968
chr14	92459957	92459958	rs8007661	Height	Quantitative_traits	Y	N	Y	Y	9.22185	15821
chr14	92636712	92636713	rs1009170	Dialysis-related_mortality	Miscellaneous	N	N	N	NA	5.69897	612
chr14	92763390	92763391	rs4900109	Iris_characteristics	Quantitative_traits	Y	N	N	NA	20.0969	2121
chr14	92773662	92773663	rs12896399	Eye_color	Quantitative_traits	N	N	N	NA	16	9126
chr14	92773662	92773663	rs12896399	Eye_color-blue_vs._green_eyes	Quantitative_traits	Y	N	N	NA	37.3979	2986
chr14	92773662	92773663	rs12896399	Eye_color-green_eyes	Quantitative_traits	N	N	N	NA	22.699	9126
chr14	92773662	92773663	rs12896399	Hair_color	Quantitative_traits	N	N	N	NA	12.301	9126
chr14	92773662	92773663	rs12896399	Hair_color-Black_vs._blond_hair_color	Quantitative_traits	Y	N	N	NA	20.0969	2287
chr14	92773662	92773663	rs12896399	Hair_color-blond_vs._brown	Quantitative_traits	Y	N	N	NA	48	2986
chr14	92972161	92972162	rs4904947	Dialysis-related_mortality	Miscellaneous	N	N	Y	Y	5.09691	612
chr14	93103308	93103309	rs10498635	Pagets_disease	Aging	Y	N	Y	Y	10.5229	3440
chr14	93501025	93501026	rs8006385	Platelet_count	Hematological_parameters	N	N	Y	Y	10	48666
chr14	94563192	94563193	rs7157940	Weight	Quantitative_traits	N	N	N	NA	5.52288	898
chr14	95671870	95671871	rs1187614	Response_to_antipsychotic_therapy_perphenazine-total_cholesterol	Drug_metabolism	N	N	N	NA	6.69897	738
chr14	95720677	95720678	rs8014194	Response_to_statin_therapy-chol_diff	Drug_metabolism	N	N	Y	Y	7.69897	3928
chr14	96027152	96027153	rs8005962	Tuberculosis	Parasitic_bacterial_disease	Y	N	Y	Y	5.09691	5359
chr14	96122407	96122408	rs8015016	QT_interval	Cardiovascular	N	N	N	NA	6.30103	2325
chr14	96169130	96169131	rs7158782	Adverse_response_to_aromatase_inhibitors	Drug_metabolism	N	N	Y	Y	6.09691	878
chr14	96175977	96175978	rs11849538	Adverse_response_to_aromatase_inhibitors	Drug_metabolism	N	N	Y	N	6.1549	878
chr14	96206069	96206070	rs2369304	Neutrophil_count	Hematological_parameters	N	N	Y	Y	5.04576	115
chr14	97103806	97103807	rs17094273	Tanning	Quantitative_traits	Y	N	N	NA	7.04576	2287
chr14	97345805	97345806	rs4905558	Neutrophil_count	Hematological_parameters	N	N	N	NA	5.09691	115
chr14	98303330	98303331	rs1471356	Radiation_response	Miscellaneous	N	N	N	NA	5.04576	277
chr14	98498950	98498951	rs4900384	Type_1_diabetes	Diabetes	Y	N	Y	Y	8.39794	16559
chr14	98588320	98588321	rs7152623	Carotid-femoral_pulse_wave_velocity	Cardiovascular	Y	N	N	NA	14.5229	20634
chr14	98642571	98642572	rs10484128	platelet_aggregation-ADP	Hematological_parameters	N	N	Y	Y	5.22185	1000
chr14	98840442	98840443	rs1459148	Response_to_antipsychotic_therapy_extrapyramidal_side_effects	Drug_metabolism	N	N	Y	Y	5.69897	738
chr14	100133941	100133942	rs2895811	Coronary_heart_disease	Cardiovascular	Y	N	N	NA	10	86995
chr14	101032216	101032217	rs6575793	Age_at_menarche	Aging	Y	N	N	NA	8	87802
chr14	101142889	101142890	rs730570	Type_2_diabetes	Diabetes	Y	N	Y	Y	5.09691	2584
chr14	101159415	101159416	rs7149242	Platelet_count	Hematological_parameters	N	N	Y	Y	7.52288	48666
chr14	101251988	101251989	rs1884537	Optic_disc_size_disc	Quantitative_traits	N	N	Y	Y	5.69897	2216
chr14	101306044	101306045	rs941576	Type_1_diabetes	Diabetes	Y	N	Y	Y	10	16559
chr14	102360744	102360745	rs7142002	Autism	Neurological_behavioral	Y	N	Y	Y	5.52288	2754
chr14	102454932	102454933	rs4906172	Menopause	Aging	Y	N	Y	N	5.52288	2979
chr14	103040086	103040087	rs11628318	Platelet_count	Hematological_parameters	N	N	Y	Y	9.69897	48666
chr14	103377320	103377321	rs10133111	Brain_imaging_in_schizophrenia_interaction	Neurological_behavioral	N	N	Y	Y	5.30103	138
chr14	103484824	103484825	rs751837	Large_B-cell_lymphoma	Cancer	Y	N	N	NA	6.52288	1008
chr14	103563194	103563195	rs8017161	Primary_biliary_cirrhosis	Autoimmune_disease	Y	N	Y	Y	12.5229	7003
chr14	103572814	103572815	rs944002	Gamma_glutamyl_transferase	Serum_metabolites	N	Y	Y	Y	28.2218	61089
chr14	103572814	103572815	rs944002	Mean_platelet_volume	Hematological_parameters	N	N	Y	Y	10.301	18600
chr14	104509075	104509076	rs11622475	Bipolar_disorder	Neurological_behavioral	N	N	N	NA	5.09691	4806
chr14	105729791	105729792	rs3000073	Mean_platelet_volume	Hematological_parameters	N	N	Y	N	10.5229	18600
chr14	107176212	107176213	rs10129255	Kawasaki_disease	Autoimmune_disease	Y	N	Y	Y	5.1549	696
chr15	25078786	25078787	rs3867498	FEV1	Kidney_lung_liver	N	N	N	NA	6	1222
chr15	25912338	25912339	rs17636733	Cardiac_hypertrophy	Cardiovascular	N	N	N	NA	6.69897	851
chr15	26277544	26277545	rs4906844	Cortical_thickness	Neurological_behavioral	N	N	N	NA	8	1054
chr15	26288393	26288394	rs6576507	Insulin_resistance	Serum_metabolites	Y	Y	Y	Y	6.39794	1040
chr15	26973085	26973086	rs8043440	Cognitive_performance-SRM	Neurological_behavioral	N	N	N	NA	5.69897	1295
chr15	27997246	27997247	rs17565841	Parkinsons_disease_age_of_onset	Aging	Y	N	Y	Y	5.52288	1297
chr15	28335819	28335820	rs4778138	Hair_color-Black_vs._blond_hair_color	Quantitative_traits	Y	N	N	NA	23.699	2287
chr15	28335819	28335820	rs4778138	Hair_color-Black_vs._red_hair_color	Quantitative_traits	Y	N	N	NA	19.2218	2287
chr15	28365617	28365618	rs12913832	Eye_color	Quantitative_traits	Y	Y	Y	N	300	9126
chr15	28365617	28365618	rs12913832	Eye_color-green_eyes	Quantitative_traits	N	N	Y	N	51.5229	9126
chr15	28365617	28365618	rs12913832	Hair_color	Quantitative_traits	N	N	Y	N	87.0458	9126
chr15	28365617	28365618	rs12913832	Hair_color-Black_vs._blond_hair_color	Quantitative_traits	Y	N	Y	N	102.398	2287
chr15	28365617	28365618	rs12913832	Hair_color-Black_vs._red_hair_color	Quantitative_traits	Y	N	Y	N	77	2287
chr15	28513363	28513364	rs916977	Eye_color	Quantitative_traits	Y	N	Y	Y	43	1406
chr15	28530181	28530182	rs1667394	Eye_color-blue_vs._brown_eyes	Quantitative_traits	Y	N	Y	Y	241	2986
chr15	28530181	28530182	rs1667394	Eye_color-blue_vs._green_eyes	Quantitative_traits	Y	N	Y	Y	52.699	2986
chr15	28530181	28530182	rs1667394	Hair_color-blond_vs._brown	Quantitative_traits	Y	N	Y	Y	34.2218	2986
chr15	29006092	29006093	rs8033165	Hair_color-Black_vs._blond_hair_color	Quantitative_traits	Y	N	N	NA	10.301	2287
chr15	29006092	29006093	rs8033165	Hair_color-Black_vs._red_hair_color	Quantitative_traits	Y	N	N	NA	11.699	2287
chr15	29888395	29888396	rs1471225	ADHD-Inattentive_symptoms	Neurological_behavioral	N	N	Y	Y	5.09691	2727
chr15	31829706	31829707	rs2125623	Heart_failure_motality-EA	Cardiovascular	N	N	N	NA	6	2992
chr15	32994755	32994756	rs4779584	Colorectal_cancer	Cancer	Y	Y	Y	N	6.30103	1849
chr15	33050422	33050423	rs1258763	Nonsyndromic_cleft_lip_with_or_without_cleft_palate	Miscellaneous	Y	N	N	NA	6	1717
chr15	35006072	35006073	rs634990	Refractive_error	Miscellaneous	Y	N	N	NA	13.699	5328
chr15	36293604	36293605	rs4923705	ADHD	Neurological_behavioral	N	N	Y	Y	5.69897	2205
chr15	36313964	36313965	rs10520045	Major_depressive_disorder	Neurological_behavioral	Y	N	N	NA	5.1549	1892
chr15	37342601	37342602	rs8041675	ADHD-Hyperactive-impulsive_symptoms	Neurological_behavioral	N	N	N	NA	5.39794	2727
chr15	37349801	37349802	rs1568679	Response_to_antipsychotic_therapy_risperidone-hip_circumference	Drug_metabolism	N	N	Y	Y	8	738
chr15	38511982	38511983	rs16966460	Bipolar_disorder	Neurological_behavioral	N	N	N	NA	5.39794	10596
chr15	38764842	38764843	rs11073328	Longevity	Aging	Y	N	N	NA	8.69897	1727
chr15	38838263	38838264	rs8035957	Type_1_diabetes	Diabetes	Y	N	N	NA	5.39794	3158
chr15	38907040	38907041	rs7171171	Type_1_diabetes_autoantibodies	Diabetes	Y	N	Y	Y	6.69897	12501
chr15	38986367	38986368	rs12912251	Bipolar_disorder	Neurological_behavioral	Y	N	Y	Y	5.52288	16731
chr15	38986367	38986368	rs12912251	Bipolar_disorder_and_major_depressive_disorder_combined	Neurological_behavioral	N	N	Y	Y	6	14052
chr15	38995490	38995491	rs12899449	Bipolar_disorder	Neurological_behavioral	N	N	N	NA	6.39794	10596
chr15	39148648	39148649	rs2624265	Triglycerides	Serum_metabolites	N	N	N	NA	6.39794	4763
chr15	39315357	39315358	rs12907914	Cardiac_hypertrophy	Cardiovascular	N	N	Y	Y	6	851
chr15	40360740	40360741	rs7181230	Serum_dehydroepiandrosterone	Serum_metabolites	N	N	Y	Y	10.301	14846
chr15	40595626	40595627	rs1869901	Schizophrenia	Neurological_behavioral	Y	N	Y	Y	5.52288	21856
chr15	42984287	42984288	rs16957063	Thyroxine-free	Serum_metabolites	N	N	Y	Y	6.30103	1200
chr15	43559230	43559231	rs748404	Lung_cancer	Cancer	Y	N	Y	Y	6	3390
chr15	45641224	45641225	rs2453533	Creatinine	Serum_metabolites	Y	N	N	NA	21.301	67093
chr15	45698792	45698793	rs2467853	Creatinine	Serum_metabolites	Y	N	N	NA	13.2218	22265
chr15	45985070	45985071	rs12594515	Waist_circumference	Quantitative_traits	N	N	N	NA	5.1549	1792
chr15	45985070	45985071	rs12594515	Weight	Quantitative_traits	N	N	N	NA	5.30103	1792
chr15	48392164	48392165	rs1834640	Skin_pigmentation	Quantitative_traits	Y	N	Y	N	50	793
chr15	48633152	48633153	rs11637235	Adiponectin	Serum_metabolites	N	N	Y	N	5.52288	1200
chr15	48900585	48900586	rs1876206	Breast_cancer	Cancer	N	N	N	NA	5.22185	1345
chr15	48914774	48914775	rs1036476	Thoracic_aortic_aneurysm	Cardiovascular	Y	N	Y	Y	12.2218	1639
chr15	49192790	49192791	rs8023445	Major_depressive_disorder	Neurological_behavioral	N	N	Y	Y	5.69897	3356
chr15	49735296	49735297	rs4338740	Goiter	Miscellaneous	Y	N	N	NA	12.5229	3620
chr15	49735296	49735297	rs4338740	Thyroid_volume	Miscellaneous	Y	N	N	NA	12	3620
chr15	49939845	49939846	rs8039808	Response_to_antidepressants-bupropion	Drug_metabolism	N	N	N	NA	6.30103	1439
chr15	51516054	51516055	rs2899472	Alzheimers-AB1-42	Aging	N	N	Y	Y	8.69897	818
chr15	51569409	51569410	rs2305707	Height	Quantitative_traits	N	N	Y	Y	6.1549	19633
chr15	51969667	51969668	rs17525472	Asthma	Autoimmune_disease	N	N	Y	Y	5.69897	3901
chr15	53279377	53279378	rs719714	Cognitive_function_CVLT-II_LDFR	Neurological_behavioral	N	N	N	NA	7.39794	700
chr15	53940306	53940307	rs10518733	Creatinine	Serum_metabolites	N	N	N	NA	7.69897	14700
chr15	53946592	53946593	rs491567	Creatinine	Serum_metabolites	Y	N	N	NA	12.5229	67093
chr15	54341464	54341465	rs1897031	Cognitive_performance-PRM	Neurological_behavioral	N	N	N	NA	6	1295
chr15	54680631	54680632	rs10518765	Alkaline_phosphatase	Serum_metabolites	N	N	Y	Y	6	1012
chr15	55456509	55456510	rs16976033	Neutrophil_count	Hematological_parameters	N	N	Y	Y	5.1549	115
chr15	56194876	56194877	rs8032158	Keloid	Miscellaneous	Y	N	N	NA	12.2218	1084
chr15	56340895	56340896	rs7169431	Chronic_lymphocytic_leukemia	Cancer	Y	N	Y	Y	6.30103	1943
chr15	57762792	57762793	rs2934442	Bipolar_disorder	Neurological_behavioral	Y	N	Y	Y	6	2836
chr15	57910163	57910164	rs937254	HDL_cholesterol	Serum_metabolites	Y	N	N	NA	6	8090
chr15	58213413	58213414	rs1550576	Hypertension	Cardiovascular	Y	N	Y	Y	5.52288	1017
chr15	58635582	58635583	rs4775031	Trails_B	Neurological_behavioral	N	N	Y	Y	5.69897	1086
chr15	58674694	58674695	rs4775041	HDL_cholesterol	Serum_metabolites	Y	N	Y	Y	19.5229	8656
chr15	58674694	58674695	rs4775041	Phosphatidyl_ethanolamine	Serum_metabolites	N	N	Y	Y	7	284
chr15	58674694	58674695	rs4775041	Triglycerides	Serum_metabolites	Y	N	Y	Y	7.69897	8684
chr15	58678511	58678512	rs10468017	Age-related_macular_degeneration	Aging	Y	Y	Y	Y	8	2688
chr15	58678511	58678512	rs10468017	Cardiovascular_disease_risk_factors	Cardiovascular	N	N	Y	Y	11.5229	11683
chr15	58678511	58678512	rs10468017	HDL_cholesterol	Serum_metabolites	Y	N	Y	Y	22.0969	19840
chr15	58678511	58678512	rs10468017	HDL_cholesterol_waist_circumference	Serum_metabolites	N	N	Y	Y	22.0969	19840
chr15	58680953	58680954	rs2043085	HDL_cholesterol_fasting_glucose	Serum_metabolites	N	N	Y	Y	8	22161
chr15	58683365	58683366	rs1532085	Cholesterol	Serum_metabolites	N	N	Y	Y	6.39794	22562
chr15	58683365	58683366	rs1532085	HDL_cholesterol	Serum_metabolites	N	Y	Y	Y	35	21412
chr15	58687879	58687880	rs493258	Age-related_macular_degeneration	Aging	Y	Y	Y	N	7.69897	2688
chr15	58694019	58694020	rs16940212	HDL_cholesterol	Serum_metabolites	Y	N	Y	Y	24	12545
chr15	58723674	58723675	rs1800588	HDL_cholesterol	Serum_metabolites	Y	N	Y	Y	31.699	2758
chr15	58726743	58726744	rs261334	HDL_cholesterol	Serum_metabolites	Y	N	Y	Y	21.301	17243
chr15	58746829	58746830	rs3825776	Amyotrophic_lateral_sclerosis	Aging	Y	N	Y	Y	5.04576	1458
chr15	59174538	59174539	rs7179456	Asperger_disorder	Neurological_behavioral	N	N	Y	Y	5.1549	843
chr15	60781512	60781513	rs3743266	Age_at_menarche	Aging	Y	N	N	NA	6.09691	87802
chr15	60878029	60878030	rs340005	Gamma_glutamyl_transferase	Serum_metabolites	N	N	Y	Y	7.69897	12526
chr15	60883280	60883281	rs339969	Gamma_glutamyl_transferase	Serum_metabolites	N	N	Y	Y	19.1549	61089
chr15	60894964	60894965	rs340029	C-reactive_protein	Serum_metabolites	Y	N	Y	Y	8.39794	66185
chr15	60910549	60910550	rs3784609	Alzheimers_Total_ventricular_volume	Aging	N	N	N	NA	5.52288	954
chr15	61069987	61069988	rs11071559	Asthma	Autoimmune_disease	N	N	Y	Y	7	26475
chr15	61267095	61267096	rs12912233	Major_depressive_disorder	Neurological_behavioral	N	N	N	NA	6.22185	4811
chr15	61329787	61329788	rs809736	Response_to_citalopram_treatment	Drug_metabolism	N	N	Y	Y	5.09691	1491
chr15	61840102	61840103	rs4775413	Schizophrenia	Neurological_behavioral	Y	N	N	NA	5.69897	21856
chr15	62332979	62332980	rs17271305	Two-hour_glucose_challenge	Serum_metabolites	Y	N	N	NA	7	15234
chr15	62383154	62383155	rs4502156	Proinsulin_levels	Serum_metabolites	Y	N	N	NA	19.3979	10701
chr15	62396388	62396389	rs7172432	Type_2_diabetes	Diabetes	Y	N	Y	N	13.0458	7541
chr15	62404381	62404382	rs1436955	Type_2_diabetes	Diabetes	Y	N	Y	Y	6.1549	2729
chr15	62414013	62414014	rs1436953	Type_2_diabetes	Diabetes	Y	N	Y	Y	5.09691	1599
chr15	62433961	62433962	rs11071657	Fasting_plasma_glucose	Serum_metabolites	Y	N	Y	Y	7.39794	46186
chr15	63333723	63333724	rs3809566	Platelet_count	Hematological_parameters	N	N	Y	Y	9.39794	48666
chr15	63341995	63341996	rs11071720	Mean_platelet_volume	Hematological_parameters	Y	N	Y	Y	7.69897	4627
chr15	63737924	63737925	rs10519210	Heart_failure	Cardiovascular	N	N	Y	N	8	23821
chr15	63915785	63915786	rs11630290	Iris_characteristics	Quantitative_traits	Y	N	N	NA	6	2121
chr15	65183800	65183801	rs1719271	Platelet_count	Hematological_parameters	N	N	Y	Y	11	48666
chr15	66051344	66051345	rs6494537	Mean_corpuscular_hemoglobin	Hematological_parameters	N	N	N	NA	8.52288	14700
chr15	67442595	67442596	rs17293632	Crohns_disease	Autoimmune_disease	Y	N	Y	Y	18.5229	21389
chr15	67446784	67446785	rs744910	Asthma	Autoimmune_disease	N	N	Y	Y	8.39794	26475
